FILENAME ID,DIMENSION
1905-Twenty-UKY,32 x 24.5 cm
1910-Alexan-UKY,21 x 14 cm
1913-Eureka-UKY,20 x 14 cm
1919-Hampto-UKY,26 x 18 cm
191x-Americ-UKY,31 x 23 cm
1929-Elmhur-UKY,21 x 15.5 cm
1844-Hymnbo-UKY,13 x 8 cm
1851-Psalmi-UKY,16 x 24 cm
1854-Singer-UKY,15.4 x 11 cm
1899-Tearsa-UKY,21 x 15 cm
1906-Newpra-UKY,21 x 15 cm
1886-Gospel-UKY,19 x 12 cm
1914-Hosann-UKY,20 x 14 cm
1896-Temple-UKY,20 x 14 cm
1893-Billow-UKY,21 x 14 cm
1893-Spirit-UKY,22 x 15 cm
1907-Reviva-UKY,20 x 14 cm
1915-Victor-UKY,20.5 x 13.5 cm
19xx-Nation-UKY,22 x 14.5 cm
1852-Zionsh-UKY,13.5 x 9 cm
1829-Chahta-UTL,15 x 9 cm
1829-Cherok-UTL,12 x 8 cm
1835-Shorts-UTL,4.5 x 9.3 cm
1835-Triump-UTL,14.5 x 9 cm
1854-Cherok-UTL,13 x 8 cm
1858-Chahta-UTL,14.5 x 10 cm
1866-Potewa-UTL,10.5 x 6.5 cm
1888-Cherok-UTL,14.5 x 10.5 cm
1833-Select-UTL,13 x 8 cm
1910-Baptis-UTL,13 x 19.5 cm
1860-Maskok-UTL,12.5 x 8 cm
1875-Gospel-UTL,20.5 x 13.5 cm
1887-Gospel-UTL,20.5 x 13.5 cm
1920-Hallel-UTL,19.5 x 13.5 cm
1906-Tsalag-UTL,14 x 11 cm
1846-Cherok-UTL,16.5 x 24.5 cm
1892-Nusdvu-UTL,23 x 15 cm
1866-Cherok-UTL,13 x 8.5 cm
188x-Mvskok-UTL,15 x 10 cm
1917-Mvskok-UTL,15 x 10.5 cm
1926-Nakcok-UTL,12 x 8.5 cm
1880-Nakcok-UTL,14 x 9 cm
1847-Sacred-SBT,15 x 24 cm
1851-Songso-SBT,14.5 x 10 cm
1852-Zionsh-SBT,13 x 9 cm
1853-Hymnsf-SBT,13.5 x 8.5 cm
1854-Sweets-SBT,13 x 9 cm
1856-Simple-SBT,15 x 10 cm
1857-Notesa-SBT,15 x 10 cm
1857-Annive-SBT,11.5 x 14.5 cm
1859-HymnsF-SBT,13 x 8.5 cm
185x-Annive-SBT,11.5 x 14.5 cm
1860-Hymnss-SBT,11 x 7.5 cm
1862-Sunday-SBT,13 x 9.5 cm
1865-Sunday-SBT,11 x 7 cm
1867-Gladti-SBT,12.5 x 15.5 cm
1870-Vocali-SBT,16.5 x 25 cm
1871-Linton-SBT,12.5 x 16 cm
1871-NewChr-SBT,19 x 12.5 cm
1873-NewBa1-SBT,17.5 x 12 cm
1878-Newgos-SBT,21 x 14 cm
1879-Newlif-SBT,14.5 x 18 cm
1884-Kleine-SBT,15.5 x 11.5 cm
1887-Hymnsn-SBT,20 x 14 cm
1888-Favori-SBT,13.5 x 17.5 cm
1888-Temple-SBT,20.5 x 13.5 cm
1889-Stouth-SBT,13 x 9.5 cm
1891-Choice-SBT,13 x 9 cm
1891-Hymnsn-SBT,20.5 x 14 cm
1892-Choice-SBT,21 x 15 cm
1895-Dawnin-SBT,20.5 x 14 cm
1895-Spirit-SBT,21.5 x 15 cm
1898-Lieder-SBT,18.5 x 21.5 cm
1899-Salvat-SBT,19 x 13 cm
1897-Select-SBT,19.5 x 13 cm
186x-Little-SBT,10 x 6.5 cm
1865-Newcel-SBT,11 x 7.5 cm
1900-Church-SBT,21.5 x 15 cm
1900-Newson-SBT,21 x 14 cm
1900-Sacred-SBT,19.5 x 13.5 cm
1901-Lastin-SBT,20.5 x 14.5 cm
1905-Psalli-SBT,17.5 x 12 cm
1901-Sunday-SBT,21.5 x 15.5 cm
1902-Sacred-SBT,20 x 14.5 cm
1903-Hymnso-SBT,19.5 x 14 cm
1904-Praise-SBT,20 x 13.5 cm
1905-Newson-SBT,21.5 x 15 cm
1908-Gemsof-SBT,20 x 14 cm
1908-Progra-SBT,22.5 x 15 cm
1908-Reviva-SBT,20 x 14 cm
1909-Melodi-SBT,20.5 x 13.5 cm
1909-Newglo-SBT,19.5 x 14 cm
1909-Primit-SBT,20.5 x 15 cm
1909-Singet-SBT,20 x 14 cm
1909-Starof-SBT,19.5 x 14 cm
190x-Callne-SBT,19.5 x 13.5 cm
1911-Harpof-SBT,19 x 13 cm
1911-Newson-SBT,20 x 14 cm
1912-Bestre-SBT,19.5 x 13 cm
1912-Emanue-SBT,19 x 13.5 cm
1913-Songsa-SBT,20.5 x 14 cm
1914-Glorio-SBT,19.5 x 13.5 cm
1914-Songso-SBT,20 x 14 cm
1914-Studen-SBT,18.5 x 13 cm
1915-Kingof-SBT,20 x 14.5 cm
1915-Redemp-SBT,19.5 x 13.5 cm
1915-Songha-SBT,19.5 x 13.5 cm
1916-Gospel-SBT,19.5 x 13.5 cm
1917-Synago-SBT,35 x 28 cm
1918-Northf-SBT,20 x 14 cm
1918-popula-SBT,20 x 13.5 cm
1919-Hesju1-SBT,30.5 x 23 cm
1919-Hesju2-SBT,30.5 x 23 cm
1919-Hymnso-SBT,19 x 13.5 cm
1919-Majest-SBT,19.5 x 13.5 cm
191x-Sacred-SBT,15 x 11 cm
1920-Gospel-SBT,19.5 x 14 cm
1921-Liftev-SBT,30 x 23 cm
1923-Silver-SBT,19.5 x 13.5 cm
1924-Gospel-SBT,19 x 13.5 cm
1924-Gracea-SBT,20 x 14 cm
1924-Ourjoy-SBT,19 x 13.5 cm
1924-Songpr-SBT,19.5 x 13.5 cm
1925-Christ-SBT,20 x 13.5 cm
1925-Hymnso-SBT,20.5 x 15 cm
1925-KingJe-SBT,26 x 17.5 cm
1925-Singhi-SBT,19.5 x 13 cm
1929-Souli1-SBT,19.5 x 13.5 cm
1929-Souli2-SBT,19.5 x 13.5 cm
1931-Evange-SBT,21.5 x 14.5 cm
1931-Glorio-SBT,21.5 x 15.5 cm
1894-Hymnss-SBT,13 x 10 cm
1910-Reviva-SBT,19.5 x 13.5 cm
1903-Robins-SBT,20.5 x 14 cm
1919-Whenmi-SBT,20 x 12.5 cm
185x-Annive-SBT,11.5 x 14.5 cm
1898-Lieder-SBT,18.5 x 21.5 cm
1917-Synago-SBT,35 x 28 cm
1873-NewBa1-SBT,17.5 x 12 cm
1921-Liftev-SBT,30 x 23 cm
1852-Zionsh-SBT,13 x 9 cm
1857-Sacred-SBT,16 x 25 cm
1851-Christ-UMI,16 x 25 cm
1855-Presby-UMI,17 x 26 cm
1858-Harmon-UMI,15 x 24 cm
1858-Jubile-UMI,17 x 25 cm
1861-Soldie-UMI,12 x 8 cm
1871-Harmon-UMI,16 x 25 cm
1872-Brethr-UMI,20 x 14 cm
1872-Jubile-UMI,25 x 16 cm
1872-Songqu-UMI,16 x 24 cm
1875-Singin-UMI,20 x 14 cm
1876-Gospel-UMI,21 x 14 cm
1876-Rosecr-UMI,20 x 18 cm
1878-Himnar-UMI,22 x 16 cm
1878-Keepin-UMI,35 x 27 cm
1879-Gospel-UMI,20 x 13 cm
1880-Dontyo-UMI,35 x 27 cm
1880-Gospel-UMI,35 x 27 cm
1880-Risemy-UMI,35 x 27 cm
1880-Waitmy-UMI,35 x 27 cm
1881-Gospel-UMI,21 x 13 cm
1882-Songsf-UMI,17 x 24 cm
1882-Songso-UMI,20 x 14 cm
1884-Goodti-UMI,15 x 19 cm
1887-Gospel-UMI,21 x 13 cm
1891-Epwort-UMI,21 x 16 cm
1894-Spirit-UMI,23 x 16 cm
1895-Gospel-UMI,35 x 27 cm
1897-Songso-UMI,20 x 14 cm
1898-Chorus-UMI,21 x 14 cm
1851-Christ-UMI,16 x 25 cm
1858-Harmon-UMI,15 x 24 cm
1858-Jubile-UMI,17 x 25 cm
1861-Soldie-UMI,12 x 8 cm
1871-Harmon-UMI,16 x 25 cm
1872-Brethr-UMI,20 x 14 cm
1872-Jubile-UMI,25 x 16 cm
1876-Gospel-UMI,21 x 14 cm
1878-Himnar-UMI,22 x 16 cm
1878-Keepin-UMI,35 x 27 cm
1880-Dontyo-UMI,35 x 27 cm
1880-Risemy-UMI,35 x 27 cm
1880-Waitmy-UMI,35 x 27 cm
1881-Gospel-UMI,21 x 13 cm
1882-Songso-UMI,20 x 14 cm
1884-Goodti-UMI,15 x 19 cm
1887-Gospel-UMI,21 x 13 cm
1891-Epwort-UMI,21 x 16 cm
1894-Spirit-UMI,23 x 16 cm
1895-Gospel-UMI,35 x 27 cm
1897-Songso-UMI,20 x 14 cm
1898-Chorus-UMI,21 x 14 cm
1860-Christ-UMI,12 x 8 cm
1885-Epwort-UMI,21 x 15 cm
1890-Evange-UMI,20.5 x 14 cm
1864-Fillmo-UMI,16.5 x 25.5 cm
1888-Glorio-UMI,20 x 14 cm
1872-Golden-UMI,13 x 17 cm
1875-Gospel-UMI,20.5 x 14 cm
1878-Gospel-UMI,21 x 13.5 cm
1879-Lieder-UMI,12.5 x 8 cm
1905-Method-UMI,22 x 15 cm
1854-Nation-UMI,15.5 x 11 cm
1919-Shouty-UMI,30 x 23.5 cm
1866-Singin-UMI,22.5 x 14 cm
1863-Soldie-UMI,12.5 x 7.5 cm
1866-Tefilo-UMI,16.5 x 12.5 cm
1877-Grandc-UMI,34 x 13 cm
1852-Luther-UMI,20 x 12 cm
1865-Deutsh-UMI,12 x 8 cm
1854-French-UMI,13 x 9 cm
1873-Joyaco-UMI,16 x 24 cm
1921-Gospel-UMI,30 x 23 cm
1850-Baptis-EMU,12 x 7.5 cm
1850-Missou-EMU,14.5 x 23.5 cm
1852-Collec-EMU,12.5 x 7.5 cm
1852-Peters-EMU,25 x 18 cm
1852-Reviva-EMU,11.5 x 6.5 cm
1853-Temple-EMU,18 x 13 cm
1853-Wester-EMU,15 x 24.5 cm
1885-Gospel-EMU,21 x 14.5 cm
1855-Sacred-EMU,17 x 12 cm
1855-Vocalm-EMU,19.5 x 13 cm
1856-Africa-EMU,11.5 x 7.5 cm
1857-Hymnss-EMU,13.5 x 8 cm
1857-Kirche-EMU,15 x 9.5 cm
1858-Sacred-EMU,11.5 x 7.5 cm
1858-Sunday-EMU,12 x 15 cm
1859-Songso-EMU,19.5 x 13 cm
1859-Southe-EMU,15.5 x 9 cm
1859-Wesley-EMU,23.5 x 15.5 cm
1860-Hymnis-EMU,14.5 x 9.5 cm
1860-Oriola-EMU,13 x 16.5 cm
1860-Unionh-EMU,13.5 x 9.5 cm
1861-Psalms-EMU,13.5 x 9 cm
1869-Specim-EMU,13 x 8 cm
1862-Hymnsf-EMU,11 x 7.5 cm
1862-Soldie-EMU,7 x 9.5 cm
1863-Soldie-EMU,11 x 7.5 cm
1864-Armyhy-EMU,12 x 7.5 cm
1864-Confed-EMU,10.5 x 7 cm
1864-Sabbat-EMU,14 x 10 cm
1867-Golden-EMU,12 x 16 cm
1867-Violet-EMU,12.5 x 15.5 cm
1868-Chapel-EMU,16 x 12.5 cm
1868-Eclect-EMU,14 x 9 cm
1868-Hymnsa-EMU,17 x 11 cm
1868-School-EMU,12.5 x 8.5 cm
1868-Shinin-EMU,19 x 12.5 cm
1869-Songsf-EMU,22.5 x 15 cm
1871-Christ-EMU,18 x 12.5 cm
1871-Kindwo-EMU,12 x 16 cm
1872-Harfen-EMU,20 x 13 cm
1872-Newhar-EMU,16 x 24.5 cm
1873-Fruits-EMU,14 x 18 cm
1873-Hymnsf-EMU,11.5 x 7 cm
1873-Songsf-EMU,13 x 17 cm
1874-Bookof-EMU,23.5 x 16 cm
1874-Contri-EMU,17.5 x 14 cm
1874-Everys-EMU,14 x 17.5 cm
1874-Golden-EMU,13 x 17.5 cm
1874-Palmof-EMU,17.5 x 25 cm
1876-Bibles-EMU,21.5 x 16 cm
1875-Devoti-EMU,15 x 10.5 cm
1875-Gospel-EMU,19 x 13 cm
1876-Melodi-EMU,14 x 18 cm
1876-Storyo-EMU,19.5 x 14 cm
1877-Geschi-EMU,19.5 x 14 cm
1877-Jasper-EMU,14.5 x 18 cm
1877-Mornin-EMU,20 x 13 cm
1877-Newmel-EMU,14.5 x 18 cm
1878-Golden-EMU,13.5 x 17.5 cm
1878-Gospe1-EMU,19.5 x 13 cm
1878-Gospe2-EMU,16 x 24 cm
1878-Helpin-EMU,13.5 x 17.5 cm
1878-Hymnal-EMU,18.5 x 13 cm
1878-Lastwo-EMU,14.5 x 18 cm
1878-Revivi-EMU,13.5 x 10 cm
1878-Tiding-EMU,13.5 x 10 cm
1879-Bapti2-EMU,12 x 8 cm
1879-Primit-EMU,20 x 15 cm
1879-Sacred-EMU,12.5 x 9 cm
1879-Songvi-EMU,13.5 x 17.5 cm
1879-Wreath-EMU,17.5 x 14.5 cm
1880-Childr-EMU,17 x 13.5 cm
1880-Joyand-EMU,14.5 x 17.5 cm
1880-Newhy1-EMU,19 x 13.5 cm
1880-Songse-EMU,16.5 x 14 cm
1800-Tribu1-EMU,19.5 x 13 cm
1881-Evange-EMU,18.5 x 13 cm
1881-Himnar-EMU,18 x 13 cm
1881-Redeem-EMU,14.5 x 18.5 cm
1881-Twilig-EMU,13 x 17 cm
1882-Collec-EMU,16 x 11 cm
1882-Gracea-EMU,15 x 18 cm
1882-Juveni-EMU,14 x 19.5 cm
1882-NewChr-EMU,20 x 13 cm
1882-Psalms-EMU,21 x 15.5 cm
1882-Realmo-EMU,16.5 x 24 cm
1882-Singin-EMU,21 x 13.5 cm
1883-Better-EMU,12.5 x 17.5 cm
1883-Bookof-EMU,13 x 8 cm
1883-Duplex-EMU,14.5 x 9 cm
1883-Holyvo-EMU,14 x 18 cm
1883-Lovean-EMU,13 x 17.5 cm
1883-Purede-EMU,13.5 x 18 cm
1883-Select-EMU,13 x 8 cm
1883-Shaker-EMU,23.5 x 15.5 cm
1883-Songso-EMU,20 x 13.5 cm
1883-Teache-EMU,17.5 x 24 cm
1883-Triune-EMU,21 x 14.5 cm
1883-Voiceo-EMU,14.5 x 18 cm
1884-Congre-EMU,17.5 x 15 cm
1884-Consol-EMU,20 x 14 cm
1884-Everl1-EMU,22 x 15 cm
1884-Gospel-EMU,21 x 13.5 cm
1884-Gratef-EMU,14 x 18 cm
1884-Harves-EMU,19.5 x 13.5 cm
1884-Hymnbo-EMU,13.5 x 9 cm
1884-Jesus1-EMU,23.5 x 15 cm
1884-Newsac-EMU,16.5 x 25 cm
1884-Ourson-EMU,17 x 24.5 cm
1884-Praise-EMU,15 x 19 cm
1884-Sabbat-EMU,21 x 14 cm
1884-Temple-EMU,16.5 x 24.5 cm
1885-Freshf-EMU,18 x 15 cm
1885-Golden-EMU,23 x 15 cm
1885-Holyma-EMU,22 x 14.5 cm
1885-Lofzan-EMU,21 x 13.5 cm
1885-Popula-EMU,19.5 x 13.5 cm
1885-Revise-EMU,11.5 x 8.5 cm
1885-Zionso-EMU,14.5 x 18 cm
1886-Carols-EMU,17.5 x 13 cm
1886-Childr-EMU,14 x 18 cm
1890-Gospel-EMU,21 x 14 cm
1886-Greata-EMU,20.5 x 14 cm
1886-Joyand-EMU,22 x 15 cm
1886-Newli1-EMU,15 x 10 cm
1886-Stream-EMU,22 x 14.5 cm
1887-Songs1-EMU,14.5 x 17.5 cm
1887-Songs2-EMU,14 x 18 cm
1888-Gesang-EMU,13.5 x 8.5 cm
1888-Hymnst-EMU,16 x 20.5 cm
1888-Ournew-EMU,15 x 18.5 cm
1888-Royalp-EMU,20 x 14 cm
1888-Sabbat-EMU,14 x 17.5 cm
1888-Songso-EMU,14 x 18 cm
1892-Standa-EMU,22.5 x 16 cm
1889-Budsan-EMU,19 x 16 cm
1889-Christ-EMU,21 x 15 cm
1889-Cumber-EMU,21.5 x 15 cm
1889-Easte1-EMU,14.5 x 19.5 cm
1889-Evange-EMU,15 x 11 cm
1889-Gospel-EMU,20.5 x 13.5 cm
1889-Hymnan-EMU,22 x 15 cm
1889-Hymnsf-EMU,33 x 18.5 cm
1889-Missio-EMU,20 x 13.5 cm
1889-Newvoi-EMU,20.5 x 14 cm
1889-Ourhym-EMU,22.5 x 15 cm
1889-Sacred-EMU,21 x 14.5 cm
1889-Songge-EMU,15 x 20 cm
1889-Window-EMU,20.5 x 14 cm
188x-Songse-EMU,15 x 11 cm
188x-Worsh2-EMU,23 x 15 cm
1890-Mornin-EMU,14 x 17.5 cm
1890-Pureso-EMU,21 x 14.5 cm
1892-Reviva-EMU,20.5 x 14 cm
1890-YMCAgo-EMU,20.5 x 16 cm
1891-Bright-EMU,22.5 x 14.5 cm
1891-Select-EMU,15 x 11 cm
1891-Servic-EMU,20 x 19.5 cm
1891-Songsf-EMU,20.5 x 14 cm
1891-Soothi-EMU,22 x 15 cm
1892-Gabrie-EMU,20 x 14 cm
1892-Hampto-EMU,14.5 x 11.5 cm
1892-Songso-EMU,20 x 14 cm
1892-Womans-EMU,19.5 x 16 cm
1892-Wordso-EMU,21 x 15 cm
1893-Billow-EMU,20.5 x 14 cm
1893-Epwort-EMU,20 x 14 cm
1893-Harpof-EMU,22 x 15 cm
1893-Hearts-EMU,14 x 18 cm
1893-Hymnso-EMU,21 x 16 cm
1893-Inhisn-EMU,20 x 14 cm
1893-Lifean-EMU,20 x 13 cm
1893-McInto-EMU,19 x 26 cm
1893-Messen-EMU,17 x 24.5 cm
1893-Musicf-EMU,22 x 14.5 cm
1893-Psalms-EMU,22.5 x 18 cm
1894-Blosso-EMU,19 x 14 cm
1894-Bright-EMU,15 x 19 cm
1894-Crowni-EMU,25 x 18 cm
1894-Lifean-EMU,20 x 14 cm
1894-Reviva-EMU,19 x 14.5 cm
1894-Select-EMU,14 x 18 cm
1895-Christ-EMU,23 x 15.5 cm
1895-Glowin-EMU,20.5 x 14 cm
1895-Gospe1-EMU,19 x 12 cm
1895-Gospe2-EMU,20 x 14 cm
1895-Gospe3-EMU,21.5 x 15 cm
1897-Nation-EMU,21.5 x 15 cm
1895-Poems-EMU,19.5 x 14 cm
1895-Spirit-EMU,21.5 x 14.5 cm
1897-Little-EMU,20.5 x 14 cm
1897-Wonder-EMU,23 x 15 cm
1898-Fillmo-EMU,20 x 14 cm
1899-Fillmo-EMU,20 x 14 cm
1898-Gospel-EMU,22 x 15.5 cm
1898-Happyv-EMU,21 x 15 cm
1899-Hymnbo-EMU,13.5 x 8.5 cm
189X-Songss-EMU,16 x 12 cm
18xx-Nation-EMU,22.5 x 14.5 cm
1900-Songso-EMU,22.5 x 16.5 cm
1901-Pearls-EMU,20.5 x 14.5 cm
1901-Showal-EMU,18 x 13.5 cm
1903-Musica-EMU,22 x 15 cm
1904-Gospel-EMU,21 x 14.5 cm
1904-Resurr-EMU,19.5 x 13.5 cm
1905-Gleani-EMU,20.5 x 14 cm
1905-Method-EMU,21.5 x 15 cm
1905-Negroe-EMU,21 x 13.5 cm
1907-Calhou-EMU,26.5 x 16.5 cm
1907-Reviva-EMU,20 x 13 cm
1909-Calhou-EMU,17.5 x 10 cm
1909-Religi-EMU,22 x 14 cm
1910-Burnin-EMU,23 x 15.5 cm
1910-Songst-EMU,20 x 13 cm
1911-Pentec-EMU,19.5 x 13.5 cm
1913-Hymnal-EMU,15 x 10 cm
1914-AfroAm-EMU,23 x 15 cm
1915-Songso-EMU,22.5 x 14.5 cm
1915-Victor-EMU,20 x 14 cm
1916-Afterf-EMU,23 x 15 cm
1916-Glorys-EMU,19.5 x 13.5 cm
1916-Lyricd-EMU,20.5 x 13 cm
191x-Hymnsf-EMU,15 x 10 cm
191x-Praise-EMU,21 x 14 cm
1921-Univer-EMU,14 x 9 cm
1923-Nation-EMU,22.5 x 15.5 cm
192x-JRosam-EMU,16 x 9 cm
19xx-Thisbo-EMU,26 x 17.5 cm
xxxx-Keepmy-EMU,20 x 13 cm
xxxx-Select-EMU,21.5 x 14.5 cm
1845-Select-EMU,13.5 x 8.5 cm
1849-Sacred-EMU,17 x 25 cm
1851-Chahta-EMU,14 x 9 cm
1855-Collec-EMU,12 x 7.5 cm
1859-Collec-EMU,14 x 9 cm
1860-Baptis-EMU,20 x 14 cm
1873-Vocalt-EMU,22.5 x 14 cm
1874-Fillmo-EMU,17.5 x 14 cm
1878-Nation-EMU,13.5 x 17 cm
1882-Sweetf-EMU,21 x 14 cm
1887-Nation-EMU,17 x 25 cm
1890-Gladev-EMU,14.5 x 18 cm
1891-Pearls-EMU,20.5 x 13.5 cm
1895-Christ-EMU,21.5 x 15 cm
1895-Gospel-EMU,20 x 13.5 cm
1896-Classc-EMU,19 x 15 cm
1899-Oldpla-EMU,25 x 17 cm
1901-Hymnal-EMU,12 x 8 cm
1901-Junior-EMU,15 x 9 cm
1901-Showal-EMU,18 x 13.5 cm
1904-Pathwa-EMU,21 x 14 cm
1909-Songso-EMU,20.5 x 14 cm
1910-Sacred-EMU,17 x 25 cm
1914-Newgos-EMU,19.5 x 13.5 cm
1916-Worshi-EMU,20 x 14 cm
191x-Hymnsf-EMU,15.5 x 10.5 cm
1922-Victo1-EMU,21.5 x 13.5 cm
1925-Excell-EMU,21.5 x 15 cm
1928-Americ-EMU,24.5 x 16.5 cm
192x-Songsf-EMU,23 x 15.5 cm
19xx-Americ-EMU,25 x 17.5 cm
19xx-Americ-EMU,24.5 x 17 cm
19xx-Gospel-EMU,19.5 x 13.5 cm
19xx-Gospel-EMU,20 x 13.5 cm
19xx-Himnos-EMU,18.5 x 12 cm
